"Copernicus Global Human Settlement Layer (GHSL), country data",
a3c97547-8277-4c30-841d-6ebe472a7bb4,Philippines: Copernicus Global Human Settlement Layer (GHSL)
8c310726-cf90-4da2-b33e-10df550a029a,Peru: Copernicus Global Human Settlement Layer (GHSL)
def6ff3e-c1dc-4bed-801d-6c98e39a44f4,Pitcairn: Copernicus Global Human Settlement Layer (GHSL)
57f63b0c-6a63-4674-9641-414d6cf2ab77,Panama: Copernicus Global Human Settlement Layer (GHSL)
9591d07c-474a-4d4b-95ba-d7ad561abc8a,Pakistan: Copernicus Global Human Settlement Layer (GHSL)
6ee86906-7c58-4741-857c-854da91c2c6a,Oman: Copernicus Global Human Settlement Layer (GHSL)
fa1b32dd-8af6-49af-a52b-e66a67a833c5,New Zealand: Copernicus Global Human Settlement Layer (GHSL)
e4ac9c84-97c3-4de2-a8f8-71a603b0d5ef,Nauru: Copernicus Global Human Settlement Layer (GHSL)
97af5288-8478-48ea-bb4e-8fb2b26f0bbf,Nepal: Copernicus Global Human Settlement Layer (GHSL)
0d3caede-f43d-4f7e-9c04-93248fb17596,Norway: Copernicus Global Human Settlement Layer (GHSL)
8a9f9506-24dd-4bb0-92ca-0287e1aea9c1,Netherlands (Kingdom of the): Copernicus Global Human Settlement Layer (GHSL)
9955ccb1-02bd-4196-9185-12e8d24fa6ac,Niue: Copernicus Global Human Settlement Layer (GHSL)
4afcc944-39f6-44a7-bc18-57fe17463e87,Nicaragua: Copernicus Global Human Settlement Layer (GHSL)
602ed5a2-244d-4f51-bdb4-27c48373db8a,Nigeria: Copernicus Global Human Settlement Layer (GHSL)
2cdbc988-98b6-4979-855a-e287f2bfda16,Norfolk Island: Copernicus Global Human Settlement Layer (GHSL)
fb051728-52db-4efc-bc15-5d9c244258be,Niger: Copernicus Global Human Settlement Layer (GHSL)
78d25672-d2f5-4e72-8280-748d73335091,New Caledonia: Copernicus Global Human Settlement Layer (GHSL)
80b5ffdd-5f52-4c04-804e-c0a192b755fd,Namibia: Copernicus Global Human Settlement Layer (GHSL)
f6b17ba6-6168-4eb6-858c-f0ecccea58bb,Mayotte: Copernicus Global Human Settlement Layer (GHSL)
f5333d5e-012a-4639-9745-bac38743a751,Malaysia: Copernicus Global Human Settlement Layer (GHSL)
6b5386c7-ec5d-4526-aa1c-12d29a50e1a3,Malawi: Copernicus Global Human Settlement Layer (GHSL)
58e3dc39-d417-432f-8e3f-ced7dcbf8ccf,Mauritius: Copernicus Global Human Settlement Layer (GHSL)
d8335c85-cb7c-497b-bc74-27e353f3e6f9,Martinique: Copernicus Global Human Settlement Layer (GHSL)
6e6e0f0b-e130-4db1-b366-724be1ec54a8,Montserrat: Copernicus Global Human Settlement Layer (GHSL)
fb3c8b25-178e-4c75-9511-99728bac41b7,Mauritania: Copernicus Global Human Settlement Layer (GHSL)
d12f44f8-553a-439f-9278-36c58726a954,Mozambique: Copernicus Global Human Settlement Layer (GHSL)
3f3ed0b2-79ff-41db-8a75-bf707557c1d0,Northern Mariana Islands: Copernicus Global Human Settlement Layer (GHSL)
be889a77-d21f-4ee2-b148-ea2cf567c757,Mongolia: Copernicus Global Human Settlement Layer (GHSL)
da63b992-f594-420f-aaf0-2d11b6df8672,Montenegro: Copernicus Global Human Settlement Layer (GHSL)
2ed68fbd-90a3-43d6-939f-45ef799ac38c,Myanmar: Copernicus Global Human Settlement Layer (GHSL)
e17db159-4a58-4caa-aadf-3f32c951a9e5,Malta: Copernicus Global Human Settlement Layer (GHSL)
38a214f3-83a9-455b-957b-4866c659ad25,Mali: Copernicus Global Human Settlement Layer (GHSL)
710d2ece-3419-4388-80f2-c1945eed8ac6,North Macedonia: Copernicus Global Human Settlement Layer (GHSL)
a170b3ff-1f6e-4a55-8d46-1a2a7515e8e4,Marshall Islands: Copernicus Global Human Settlement Layer (GHSL)
3511bb9b-46d9-420c-9a2b-e8934246c6dc,Mexico: Copernicus Global Human Settlement Layer (GHSL)
198f5cbf-71b3-4893-9a91-a10393dea84a,Maldives: Copernicus Global Human Settlement Layer (GHSL)
