HOTOSM Populated Places,
4c78b23e-e700-4b64-b2f5-c9a22530b69a,Azerbaijan Populated Places (OpenStreetMap Export)
8710436a-da4e-43a1-98e6-eaab0de7ef5a,Bahrain Populated Places (OpenStreetMap Export)
65eb179d-aa6e-4d2b-b333-396302387a02,Antigua and Barbuda Populated Places (OpenStreetMap Export)
223a7167-48b2-4dbd-a376-18481808fbe3,Albania Populated Places (OpenStreetMap Export)
5a742c0c-2428-46e0-ae89-a4a8984c7e7f,Antarctica Populated Places (OpenStreetMap Export)
8accc9e3-12de-44d6-bf8e-959dfae3eded,Andorra Populated Places (OpenStreetMap Export)
0865eb18-ce28-439b-b6ff-5dfc472ef627,Ukraine Populated Places (OpenStreetMap Export)
9b25e21d-2781-451c-9b2f-db1458c2a703,Zambia Populated Places (OpenStreetMap Export)
0e743cf2-9a27-40ae-ae25-4b823fd31e32,Uzbekistan Populated Places (OpenStreetMap Export)
7b4e09d5-ddb5-4933-aa90-737139b16500,Zimbabwe Populated Places (OpenStreetMap Export)
31dda6f5-a9d2-43fb-be86-cdb8c5ab1099,Viet Nam Populated Places (OpenStreetMap Export)
8cb350a6-6a12-4b78-8d8c-192a5632f7d1,Venezuela Populated Places (OpenStreetMap Export)
3da2104c-a060-40a7-bd59-2c3c37ef8893,Yemen Populated Places (OpenStreetMap Export)
4ce52dbe-8d1b-4c1d-9b5b-e5ee6f1b6544,Vanuatu Populated Places (OpenStreetMap Export)
10541c48-e94d-44f6-9d3b-cdc8df2c7faf,Wallis and Futuna Islands Populated Places (OpenStreetMap Export)
6c792907-ff5b-4aa5-8c64-e74dc0cd2eed,United States Virgin Islands Populated Places (OpenStreetMap Export)
fe3ba51f-f516-4fe1-a1eb-ce8cd1733400,United Arab Emirates Populated Places (OpenStreetMap Export)
4ddb781a-a7c9-44cd-9844-54ccd18d507b,Turkey Populated Places (OpenStreetMap Export)
2ad81d44-6e9b-4ee3-a44e-9bad2af2113b,Uganda Populated Places (OpenStreetMap Export)
4840ea7b-41ed-42bd-a21e-1458dbe4c59b,Uruguay Populated Places (OpenStreetMap Export)
bfb6fd3a-0000-4438-8b5d-1f32b047012f,Turkmenistan Populated Places (OpenStreetMap Export)
26aa2946-3019-4cf4-8153-5798483a5fb9,Tuvalu Populated Places (OpenStreetMap Export)
de95e50a-e450-406b-b877-25e74c4a915b,Turks and Caicos Islands Populated Places (OpenStreetMap Export)
9376947f-ea0f-4a1b-a61f-5a6afd27839a,Timor-Leste Populated Places (OpenStreetMap Export)
95a00198-538e-4a3d-98ed-409192481caf,Tanzania Populated Places (OpenStreetMap Export)
70cb5fe8-c4e2-4c08-95af-b1682198fd05,Thailand Populated Places (OpenStreetMap Export)
4373fdce-062d-4ff4-b1ce-a5b934595dbd,Tajikistan Populated Places (OpenStreetMap Export)
ee63675f-247e-40c6-9097-a4121e78ea50,Tokelau Populated Places (OpenStreetMap Export)
411f4f2d-b977-4cf8-8528-d5bd3d269ec3,Taiwan Populated Places (OpenStreetMap Export)
cdb3fca7-01b6-45b2-a97f-187ba7f087c9,Togo Populated Places (OpenStreetMap Export)
76386fa6-1b03-4b14-a6ae-1fe09522960e,Syria Populated Places (OpenStreetMap Export)
3b2594d2-5d11-4ff7-b621-78cd70a999f9,Tunisia Populated Places (OpenStreetMap Export)
42a6ff07-9f15-4f26-b61e-85dd4bd44d47,Sweden Populated Places (OpenStreetMap Export)
6b6dd72f-9851-46f9-ba64-7ca3d1e34325,Switzerland Populated Places (OpenStreetMap Export)
d4e371cc-9b18-4d10-8516-4eb7e9a3c23c,Svalbard and Jan Mayen Islands Populated Places (OpenStreetMap Export)
255546f9-fbf3-4430-8868-48811acf592b,South Korea Populated Places (OpenStreetMap Export)
ebf88f8e-fa79-4ce7-8f67-2873202f1a89,South Africa Populated Places (OpenStreetMap Export)
600498f9-c162-427f-9b4e-c731a360bc71,South Georgia and the South Sandwich Islands Populated Places (OpenStreetMap Export)
eaaae098-95cd-486c-b0e5-e1ecd3109f0b,Somalia Populated Places (OpenStreetMap Export)
6dffa976-77bd-45b2-b0c8-815841e40928,Slovakia Populated Places (OpenStreetMap Export)
af9beacc-8e4e-4cbe-9345-f62784e185f5,Solomon Islands Populated Places (OpenStreetMap Export)
11d6b6df-6192-4cc1-9a05-1008f2ec3b20,Slovenia Populated Places (OpenStreetMap Export)
b46bbcb6-9923-495c-88ef-7dbde53b622d,Serbia Populated Places (OpenStreetMap Export)
3366a2dd-014b-406f-8b72-f3def383c71f,Seychelles Populated Places (OpenStreetMap Export)
c6b7b3aa-5ad8-4fa5-b730-bf449ec0e5c2,Spain Populated Places (OpenStreetMap Export)
90e021c9-dbc3-472c-8cb8-f756c6a864b0,Sri Lanka Populated Places (OpenStreetMap Export)
8efd5009-9829-4308-826c-17c482167e9c,South Sudan Populated Places (OpenStreetMap Export)
c9ede617-7058-48df-a376-82bbc52f3680,Senegal Populated Places (OpenStreetMap Export)
fa274ec0-8095-4b1d-9eb8-617d0e623076,Suriname Populated Places (OpenStreetMap Export)
a1a494b6-d81a-4fa2-9584-77f033e29d15,Sudan Populated Places (OpenStreetMap Export)
33ee4384-bc94-4eb6-8f5f-63a79427ebf3,Singaore Populated Places (OpenStreetMap Export)
6897469a-d543-4ae0-b3b3-e2c9c97d5760,Saudi Arabia Populated Places (OpenStreetMap Export)
776a83a5-b441-4c9b-9881-5286feba2299,Sierra Leone Populated Places (OpenStreetMap Export)
235b94f5-1957-4c51-9a3a-9eb9c47e4920,Sao Tome And Principe Populated Places (OpenStreetMap Export)
3dd63995-a0c3-4af9-b764-7f7601f4363c,San Marino Populated Places (OpenStreetMap Export)
b0e6d0a8-1c4d-4b08-905f-d350217719de,Saint Lucia Populated Places (OpenStreetMap Export)
1f6bf944-7c80-4c01-b2aa-7ccead0ad4d7,"Saint Helena, Ascension and Tristan da Cunha Populated Places (OpenStreetMap Export)"
168e3323-04e4-4b99-af4f-69f84a8cbbd6,Saint Barthélemy Populated Places (OpenStreetMap Export)
31097818-ad97-4281-b53f-232a9fac3b56,Rwanda Populated Places (OpenStreetMap Export)
7a4bbccb-76cc-4ed0-85db-780f1b540bd0,Romania Populated Places (OpenStreetMap Export)
2d246447-30b9-4c93-92cd-963fcf79a604,Puerto Rico Populated Places (OpenStreetMap Export)
5c421b35-4f8e-455f-a314-eee5e9016fb5,Portugal Populated Places (OpenStreetMap Export)
1d975fa9-1750-4f03-b0b8-fec2a350b192,Netherlands Populated Places (OpenStreetMap Export)
5f20bc5f-5f6d-4747-8dc5-769dd39f946a,Pakistan Populated Places (OpenStreetMap Export)
1bb94b73-3a59-455e-8c09-fd0ba261d473,Palau Populated Places (OpenStreetMap Export)
1b404a7b-10b8-4d38-a9da-81df44d25c63,Oman Populated Places (OpenStreetMap Export)
b75443aa-e5c8-40e4-b93e-00484951baf3,Nigeria Populated Places (OpenStreetMap Export)
73086607-7c63-4d1b-9bb0-aa75cbeb293b,North Macedonia Populated Places (OpenStreetMap Export)
68e7e22f-daca-4dc4-8c2b-24e4871c9e09,Panama Populated Places (OpenStreetMap Export)
3b9ecaf7-cd5e-453e-94a4-2a14fc9c0525,Niue Populated Places (OpenStreetMap Export)
452dfcd4-bad4-46ca-8267-98d4eb192508,New Caledonia Populated Places (OpenStreetMap Export)
69b13624-a78b-43db-b920-77b7824db5d7,Nepal Populated Places (OpenStreetMap Export)
3e8a9fe2-f7de-4dd9-a72c-74aae675d605,North Korea Populated Places (OpenStreetMap Export)
9adaca44-6ba3-4fab-9c45-de706072f71d,Namibia Populated Places (OpenStreetMap Export)
c862154f-35ab-4652-a3d9-6bf1a0a7f605,Myanmar Populated Places (OpenStreetMap Export)
32866f40-2eea-4389-9b99-943b93593597,Paraguay Populated Places (OpenStreetMap Export)
47347de0-4c21-470e-a517-60cffbdff34a,Nauru Populated Places (OpenStreetMap Export)
e277d40e-2039-41ef-8ae2-b7aa32ff3fd3,Morocco Populated Places (OpenStreetMap Export)
d0d36c09-a14f-4f2f-b46c-473b0db061c1,Mexico Populated Places (OpenStreetMap Export)
d80b3b02-5473-40de-aa70-ad07b5b840b5,Papua New Guinea Populated Places (OpenStreetMap Export)
0d05d2f8-06ca-4b61-9a07-3051191a5231,Niger Populated Places (OpenStreetMap Export)
95b82a1b-5f67-4dcf-9f39-018c9486468e,Mozambique Populated Places (OpenStreetMap Export)
efea6537-2836-48c1-b9e5-149e9e9a2a50,Nicaragua Populated Places (OpenStreetMap Export)
532b362b-35f2-489b-8688-722341419e4b,Moldova Populated Places (OpenStreetMap Export)
d6edca96-2468-405f-9441-6352133f3791,Montserrat Populated Places (OpenStreetMap Export)
535d14f4-d9b7-4870-a50a-734c482ac97a,Mongolia Populated Places (OpenStreetMap Export)
abda3a98-521c-4859-9271-816bb45df656,Monaco Populated Places (OpenStreetMap Export)
d9173f23-507d-4fb5-bf98-e140170e3b86,Mauritania Populated Places (OpenStreetMap Export)
a2252882-90a5-4333-9f06-db861d085147,Micronesia Populated Places (OpenStreetMap Export)
31b6c5d4-5a14-44fb-89e7-b7999a606fe8,Mayotte Populated Places (OpenStreetMap Export)
2292ad35-a6be-4478-8ea4-8a908aae17ad,New Zealand Populated Places (OpenStreetMap Export)
a46b52e4-de7d-4ad2-a3bc-236b1f3e3bdd,Mauritius Populated Places (OpenStreetMap Export)
a405bc11-1a6c-4ee0-8beb-88595ae5d1e9,Martinique Populated Places (OpenStreetMap Export)
e28513a2-f9fd-4fa0-a288-f116d67b51a1,Marshall Islands Populated Places (OpenStreetMap Export)
7f3806f9-bea9-43aa-985f-bb4df34ea56d,Malta Populated Places (OpenStreetMap Export)
7ba4f6d3-1792-43a0-bf51-a390955f62b7,Lithuania Populated Places (OpenStreetMap Export)
6a7862f2-3e76-43d2-86fe-3fd62ca2f316,Mali Populated Places (OpenStreetMap Export)
0d604360-993d-4438-8359-e8a87f009aaf,Maldives Populated Places (OpenStreetMap Export)
efff407a-b849-4bc3-8606-5f425e4fac8a,Madagascar Populated Places (OpenStreetMap Export)
b94a17fd-47c6-46a6-894b-b3dd0ccbc0ad,Malaysia Populated Places (OpenStreetMap Export)
4008598f-6f35-4835-ad03-26c205946a27,Malawi Populated Places (OpenStreetMap Export)
6225e758-8c61-40ab-917e-b27fc0f3aee7,Montenegro Populated Places (OpenStreetMap Export)
3be025ab-0d92-4271-91c9-c928667e8554,Kenya Populated Places (OpenStreetMap Export)
68bf45d5-f95b-48de-9a57-452c4366a987,Luxembourg Populated Places (OpenStreetMap Export)
e080a8c1-9d6a-49ed-b19d-0424a679f267,Liberia Populated Places (OpenStreetMap Export)
202f40c1-10cb-47a6-b042-96e1b59f9ff8,Liechtenstein Populated Places (OpenStreetMap Export)
15b270e0-e54c-41ff-9652-45a22fad49de,Latvia Populated Places (OpenStreetMap Export)
050bc229-1883-4683-9769-fc16dcab4445,Lesotho Populated Places (OpenStreetMap Export)
fb99ad08-8a9c-4bde-9716-a6035d2a245b,Libya Populated Places (OpenStreetMap Export)
2619430e-ed68-4f81-8071-f50b9cde614c,Laos Populated Places (OpenStreetMap Export)
3128c36f-f747-4a50-912a-c08a3f35118a,Kyrgyzstan Populated Places (OpenStreetMap Export)
8b3d0655-271a-4ca0-98fd-4ab8437cd687,Kuwait Populated Places (OpenStreetMap Export)
031aa640-5e32-4e27-aa38-e2e667b165e4,Ireland And Northern Ireland Populated Places (OpenStreetMap Export)
74f4f14d-b01c-4a16-a87f-1b7ce47886b6,Kosovo Populated Places (OpenStreetMap Export)
8df0bf0b-95c4-45b7-9f83-63c38579e17d,Kazakhstan Populated Places (OpenStreetMap Export)
37c06ea3-4970-417e-9040-0147109fea92,Kiribati Populated Places (OpenStreetMap Export)
a5de125a-2a34-440a-b85f-bd28165af869,Guyana Populated Places (OpenStreetMap Export)
edb06ba5-aa92-4c9c-af49-a944f1ebc4ae,Guatemala Populated Places (OpenStreetMap Export)
2933132d-651a-44ff-afdd-43bd198dba04,Jordan Populated Places (OpenStreetMap Export)
c11b8fcd-6543-4d27-9c8a-3514feaee895,Jersey Populated Places (OpenStreetMap Export)
a14653a6-7590-4ac5-bd45-e01750d673c0,Israel Populated Places (OpenStreetMap Export)
1f0abc8d-fc4e-43cf-9a03-5f4d36145af8,Iran Populated Places (OpenStreetMap Export)
4194727d-7389-41ef-98eb-eb61582013de,Isle Of Man Populated Places (OpenStreetMap Export)
4c396ad6-5010-4659-a6df-5797c51f97d5,Iraq Populated Places (OpenStreetMap Export)
4eef11b7-2064-4313-9e1f-150e0f604ad5,Jamaica Populated Places (OpenStreetMap Export)
f546de91-23d4-4fd1-9a17-1b2b816398e9,Guernsey Populated Places (OpenStreetMap Export)
adc5a978-4d45-4148-b4e6-b39ee0cb73cb,Iceland Populated Places (OpenStreetMap Export)
a837bed0-1fa9-4df0-a877-e95d0bd0c2b0,Hungary Populated Places (OpenStreetMap Export)
27e90562-b584-4aeb-8b70-b6ed1c2df1b5,Greenland Populated Places (OpenStreetMap Export)
5a90410a-2a6a-43fd-af8c-5b43da168198,Grenada Populated Places (OpenStreetMap Export)
1f0d0487-445d-4d00-837e-a662f4ce4d73,Finland Populated Places (OpenStreetMap Export)
df76adbf-d023-441a-b1b9-55a325873c4d,Norway Populated Places (OpenStreetMap Export)
5097d8e4-e7dc-4c38-8300-3fa317eb6861,Greece Populated Places (OpenStreetMap Export)
3f5f28a2-3976-424a-acf2-297779739356,Guadeloupe Populated Places (OpenStreetMap Export)
0ff47530-f170-4786-bc83-01f0d0f8fe60,Italy Populated Places (OpenStreetMap Export)
666ca37c-10a2-4120-ad9a-4a209940153d,Japan Populated Places (OpenStreetMap Export)
724cde39-6a2d-47bf-a710-a6cca5b3e223,India Populated Places (OpenStreetMap Export)
7e8b6742-34e1-4247-b36c-e922f9392b82,Brazil Populated Places (OpenStreetMap Export)
b75db932-115d-4b21-8c91-838b0f37a3f9,Afghanistan Populated Places (OpenStreetMap Export)
5b2d71b6-fdd6-4b99-a272-ed4a39f938ab,Poland Populated Places (OpenStreetMap Export)
45c38540-ef0f-41c7-9897-522a94de3af5,Saint Kitts and Nevis Populated Places (OpenStreetMap Export)
542476ad-521d-49c9-b5f5-e68237aaf049,Guam Populated Places (OpenStreetMap Export)
ec04dfd9-edb4-43e3-8491-a90e213d8221,"Goma , Republic of the Congo Populated Places (OpenStreetMap Export)"
35dff471-1d13-4567-b8cd-952d03d16f5f,United Kingdom Populated Places (OpenStreetMap Export)
08ee8885-934b-47f3-a392-da52fed73bef,Indonesia Populated Places (OpenStreetMap Export)
e6e1a097-14fa-431a-895c-181d62e5e28d,France Populated Places (OpenStreetMap Export)
b7cbf4f4-0122-4bff-a4b4-d7cd4ff74c3b,Canada Populated Places (OpenStreetMap Export)
542476ad-521d-49c9-b5f5-e68237aaf049,Guam Populated Places (OpenStreetMap Export)
ec04dfd9-edb4-43e3-8491-a90e213d8221,"Goma , Republic of the Congo Populated Places (OpenStreetMap Export)"
35dff471-1d13-4567-b8cd-952d03d16f5f,United Kingdom Populated Places (OpenStreetMap Export)
08ee8885-934b-47f3-a392-da52fed73bef,Indonesia Populated Places (OpenStreetMap Export)
e6e1a097-14fa-431a-895c-181d62e5e28d,France Populated Places (OpenStreetMap Export)
b7cbf4f4-0122-4bff-a4b4-d7cd4ff74c3b,Canada Populated Places (OpenStreetMap Export)
