EM-DAT - Natural Hazard-related Events - Country Profiles,
007beaa0-305d-4006-8b5a-a6ae43668082,"EM-DAT - Country Profiles, Croatia"
29a20c0c-5476-4422-9ce6-e4772e0c3eeb,"EM-DAT - Country Profiles, North Macedonia"
746744c9-2e2c-45fa-b0c5-59d7c7d594a7,"EM-DAT - Country Profiles, Japan"
8637644a-0703-440d-aff4-e88e7d242700,"EM-DAT - Country Profiles, Switzerland"
caaa78df-d578-4824-9d5c-84dc31c72fd1,"EM-DAT - Country Profiles, Paraguay"
d33f1ca1-d963-4259-bb3e-69fb0945d28f,"EM-DAT - Country Profiles, Philippines"
50329426-1060-41a9-8563-a52217e0aa3e,"EM-DAT - Country Profiles, Türkiye"
82f3b878-c313-4b2c-a370-b75c0f0c476d,"EM-DAT - Country Profiles, Republic of Korea"
da92c1cd-359e-478d-80b7-63807788354c,"EM-DAT - Country Profiles, Somalia"
85342aca-7ac8-4489-9f20-deb4adb5c1c1,"EM-DAT - Country Profiles, Canada"
23219f38-e296-4aa8-9cc6-a3f0381efa2e,"EM-DAT - Country Profiles, Mali"
02f2b2fa-39f1-413f-bd44-1683b2fea304,"EM-DAT - Country Profiles, Algeria"
5ae688f7-626f-4e79-b597-cf31cc5feac1,"EM-DAT - Country Profiles, Albania"
f40759b4-b853-489e-99a2-24cf147a22c3,"EM-DAT - Country Profiles, Viet Nam"
44f51df9-9492-44ba-9c76-b542401bc419,"EM-DAT - Country Profiles, Czechia"
43bfecf1-7327-4fc7-a342-ce174786c720,"EM-DAT - Country Profiles, Myanmar"
cef1e83c-56e6-47ee-96e5-86f4f7e5742f,"EM-DAT - Country Profiles, Zimbabwe"
90a21549-a246-452e-b466-ea4abc22fcf3,"EM-DAT - Country Profiles, Namibia"
5b3bb842-6a5c-44fc-b89f-21978546cdd7,"EM-DAT - Country Profiles, Colombia"
95171b6a-2ef0-4e77-890f-d0b1d44f4aa0,"EM-DAT - Country Profiles, Serbia"
6f541eef-721d-44c9-bf05-ba79d67308e9,"EM-DAT - Country Profiles, Kenya"
b390dd6a-0163-40ef-b0af-ad71e23b2099,"EM-DAT - Country Profiles, Belgium"
c9909251-0b83-4289-b612-8a8a87d32ae3,"EM-DAT - Country Profiles, Côte d’Ivoire"
36dbce44-c0c7-4e64-b4f5-81fb4525376d,"EM-DAT - Country Profiles, Egypt"
8d055ce4-66a8-4f81-9168-5ba698e13075,"EM-DAT - Country Profiles, Nepal"
61645674-b3dc-455c-9343-3d2c23f1989b,"EM-DAT - Country Profiles, Niger"
68fb7904-2030-4cad-8ab9-2f44fd979e7e,"EM-DAT - Country Profiles, South Sudan"
cd7e5a32-0227-4892-8b07-3c0b53700e32,"EM-DAT - Country Profiles, Lesotho"
8ec0c770-865d-4a5c-a936-e19ddd90d087,"EM-DAT - Country Profiles, Afghanistan"
e8cb23e3-0fae-4d19-9bea-4f80b8b8566b,"EM-DAT - Country Profiles, Comoros"
8edf33e2-9c93-481e-be6c-ea849515a07b,"EM-DAT - Country Profiles, Mauritania"
45c1f75d-0902-47b7-9485-585c6966e789,"EM-DAT - Country Profiles, Gambia"
ed1d04fa-5462-4f34-8cce-6691d6ad5657,"EM-DAT - Country Profiles, Greece"
82a53f99-9af8-4b36-ad63-4a507091e923,"EM-DAT - Country Profiles, Azerbaijan"
78820944-2ce7-4a2a-88cc-4aec4968126f,"EM-DAT - Country Profiles, Ecuador"
cad68d58-2ee0-4b2f-9b47-b0ce689a65c7,"EM-DAT - Country Profiles, Lebanon"
